Ticker,Nome,Negócios,Última (R$),Variação
CASH3,Méliuz,2.097.400,"3,83","-1,79%"
SMTO3,São Martinho,2.046.800,"14,80","-2,12%"
POSI3,Positivo,2.041.800,"4,11","+2,75%"
HYPE3,Hypera,2.037.900,"23,33","-0,98%"
KLBN4,Klabin,2.003.700,"3,81","+1,33%"
AZTE3,AZT Energia,1.988.300,"0,42","+2,44%"
NEOE3,Neoenergia,1.982.700,"31,70","+0,63%"
LWSA3,Locaweb,1.956.800,"4,12","-3,29%"
SYNE3,SYN,1.890.400,"4,83","-4,36%"
ISAE4,ISA Energia,1.882.000,"26,90","-2,32%"
JALL3,Jalles Machado,1.857.600,"2,79","+0,72%"
YDUQ3,YDUQS,1.773.400,"12,19","+0,16%"
SAPR11,Sanepar,1.763.900,"40,19","+1,21%"
MULT3,Multiplan,1.762.300,"27,04","-0,77%"
JSLG3,JSL,1.735.700,"6,06","-0,16%"
ENGI11,Energisa,1.693.000,"47,09","-0,15%"
SBFG3,Grupo SBF,1.692.200,"12,60","-2,78%"
VIVA3,Vivara,1.686.100,"32,26","-2,95%"
BRSR6,Banrisul,1.631.700,"15,31","+0,46%"
MDNE3,Moura Dubeux,1.617.400,"23,00","-1,25%"
HBRE3,HBR Realty,1.553.400,"3,53","+2,62%"
TAEE11,Taesa,1.404.100,"41,97","-0,33%"
KEPL3,Kepler Weber,1.374.300,"9,88","+0,41%"
IGTI11,Jereissati Participações,1.356.300,"25,31","-1,02%"
IGTI11,Iguatemi,1.356.300,"25,31","-1,02%"
ODPV3,Odontoprev,1.297.400,"11,20","+0,00%"
SAPR4,Sanepar,1.241.700,"7,80","+0,91%"
EGIE3,Engie,1.236.700,"31,13","-0,77%"
ALLD3,Allied,1.223.800,"8,38","+2,70%"
OIBR3,Oi,1.193.800,"0,17","+0,00%"
PLPL3,Plano&Plano,1.149.800,"13,06","-4,67%"
ITUB3,Itaú Unibanco,1.144.700,"36,31","-0,06%"
AXIA6,Axia Energia,1.142.900,"52,48","+0,11%"
EVEN3,Even,1.134.200,"7,50","-3,60%"
INTB3,Intelbras,1.072.200,"11,60","-0,09%"
PSSA3,Porto Seguro,1.054.100,"48,13","-0,48%"
VULC3,Vulcabras,1.011.000,"19,91","-0,70%"
CPFE3,CPFL Energia,985,"53,76","+0,88%"
SEER3,Ser Educacional,952,"9,61","-2,14%"
TFCO4,Track & Field,910,"16,05","-1,53%"
PNVL3,Dimed,908.7,"12,11","+1,00%"
POMO3,Marcopolo,907.4,"5,55","-3,31%"
MILS3,Mills,906,"14,00","+0,00%"
FESA4,Ferbasa,856.2,"6,80","-1,88%"
TTEN3,3tentos,806.8,"16,44","+0,74%"
IRBR3,IRB Brasil RE,767.3,"52,36","-2,50%"
DESK3,Desktop,751.7,"16,84","-1,46%"
GFSA3,Gafisa,725,"5,00","-6,54%"
LOGG3,LOG CP,700.4,"25,35","+4,75%"
VTRU3,VITRUBREPCOM,691,"14,02","-1,34%"
ABCB4,Banco ABC Brasil,668.8,"23,65","-0,21%"
ARML3,Armac,642.9,"4,59","+2,46%"
IFCM3,Infracommerce,637.7,"1,17","-0,85%"
LAVV3,Lavvi Incorporadora,582,"15,74","-1,50%"
LIGT3,Light,574.6,"4,72","-0,21%"
BMGB4,Banco BMG,561,"4,96","+0,20%"
CSED3,Cruzeiro do Sul Educacional,554.7,"6,08","-2,25%"
SOJA3,Boa Safra Sementes,549.8,"8,94","-1,11%"
MELK3,Melnick,533.7,"3,80","+0,00%"
RANI3,Irani,529,"8,69","+0,12%"
FRAS3,Fras-le,525.7,"24,11","-0,17%"
RCSL3,Recrusul,524.9,"2,31","-1,28%"
ALUP11,Alupar,482.4,"31,99","+0,76%"
CAML3,Camil Alimentos,480.9,"5,53","+0,55%"
TRIS3,Trisul,479.9,"6,15","-1,76%"
PINE4,Banco Pine,479.5,"13,15","-2,23%"
TOKY3,Toky,444.8,"0,79","-2,47%"
