Raz„o Social;Fundo;CÛdigo
BLUECAP LOG FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII BLOG;BLOG
FUNDO DE INVESTIMENTO IMOBILI¡RIO MACAM SHOPPING RESPONSABILIDADE LIMITADA;FII BLUE;BLUE
BM BRASCAN LAJES CORPORATIVAS FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII BMBRC LC;BMLC
FUNDO DE INVESTIMENTOS  IMOBILI¡RIOS DE PERMUTA FINANCEIRA LOTE5 MEZANINO RESPONSABILIDADE  LIMITADA;FII BMLT;BMLT
BANRISUL NOVAS FRONTEIRAS FUNDO DE INVESTIMENTO IMOBILIARIO - RESPONSABILIDADE LIMITADA;FII BANRISUL;BNFS
BASÕLICA PARTNERS GDR FUNDO DE INVESTIMENTO IMOBILI¡RIO FII RESPONSABILIDADE LIMITADA;FII BPDR;BPDR
Brasil Plural Absoluto Fundo de Fundos;FII BPFF;BPFF
BASÕLICA PARTNERS LED CORPORATE FUNDO DE INVESTIMENTO IMOBILI¡RIO FII;FII BASILICA;BPLC
BTG PACTUAL SHOPPINGS FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII BTG SHOP;BPML
BASÕLICA PARTNERS MEDWELL FUNDO DE INVESTIMENTO IMOBILI¡RIO FII RESPONSABILIDADE LIMITADA;FII BPMW;BPMW
BRESCO DESENVOLVIMENTO FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII BRCD;BRCD
BRESCO LOGÕSTICA FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII BRESCO;BRCO
FUNDO DE INVESTIMENTO IMOBILI¡RIO BRC-IV DESENVOLVIMENTO RESPONSABILIDADE LIMITADA;FII BRCQ;BRCQ
BTG PACTUAL CORPORATE OFFICE FUND - FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII BC FUND;BRCR
FUNDO DE INVESTIMENTO IMOBILI¡RIO BR HOT…IS;FII BRHOTEIS;BRHT
