Raz„o Social;Fundo;CÛdigo
P¡TRIA RECEBÕVEIS IMOBILI¡RIOS - FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII HGCR PAX;HGCR
CSHG IMOB. FOF;FII HGFF;HGFF
HGI CR…DITOS IMOBILI¡RIOS FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII HGI CRI;HGIC
P¡TRIA LOG - FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII HGLG PAX;HGLG
PATRIA PRIME OFFICES - FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII HGPO PAX;HGPO
PATRIA ESCRIT”RIOS - FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII HGRE PAX;HGRE
P¡TRIA RENDA URBANA - FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII HGRU PAX;HGRU
HIRE LOG I - FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII HIRE LOG;HILG
HEDGE JHSF CAPITAL PRIME OFFICES FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII HJCT;HJCT
FRAM CAPITAL HELMER MULTIATIVOS RENDA PREFERENCIAL FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII HLMB;HLMB
HEDGE LOGÕSTICA FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII HEDGELOG;HLOG
HEDGE OFFICE INCOME FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII HOFFICEI;HOFC
FUNDO DE INVESTIMENTO IMOBILI¡RIO ROOFTOP III RESPONSABILIDADE LIMITADA;FII HOMS;HOMS
FUNDO DE INVESTIMENTO IMOBILI¡RIO HOUSI RESPONSABILIDADE LIMITADA;FII HOUSI;HOSI
HEDGE SHOPPING PARQUE DOM PEDRO FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII HEDGEPDP;HPDP
HEDGE REALTY DEVELOPMENT FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII HREALTY;HRDF
HEDGE RECEBÕVEIS IMOBILI¡RIOS FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII HEDGEREC;HREC
FII HIRE RESIDENCIAL I - FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII HIRE RES;HRES
HSI ATIVOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESP LIMITADA;FII HSI CRI;HSAF
HSI LOGÕSTICA FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESP LIMITADA;FII HSI LOG;HSLG
HSI MALLS FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII HSI MALL;HSML
HSI RENDA IMOBILI¡RIA FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESP LIMITADA;FII HSIRENDA;HSRE
HOTEL MAXINVEST FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII HOTEL MX;HTMX
FUNDO DE INVESTIMENTO IMOBILI¡RIO HOSPITAL UNIMED CAMPINA GRANDE RESPONSABILIDADE LIMITADA;FII UNIMED C;HUCG
FUNDO DE INVESTIMENTO IMOBILIARIO HOSPITAL UNIMED SUL CAPIXABA;FII H UNIMED;HUSC
HUSI FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII HUSI;HUSI
FII HIRE PROPERTIES I - FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII HYPI;HYPI
INVISTA BRAZILIAN BUSINESS PARK FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII IBBP;IBBP
CRI INTEGRAL BREI FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII BREI;IBCR
ÕCONE - FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII ICNE;ICNE
ITA⁄ CR…DITO IMOBILI¡RIO IPCA FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII CI IPCA;ICRI
FUNDO DE INVESTIMENTO IMOBILI¡RIO DE UNIDADES AUT‘NOMAS IV;FII IDUA;IDUA
ITA⁄ RBR DESENVOLVIMENTO LOGÕSTICO - FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII ILOG;ILOG
IMMOBINVEST FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII IMMB;IMMB
INTER DESENVOLVIMENTO FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII INDE;INDE
INTER LOGÕSTICO FUNDO DE INVESTIMENTO IMOBILI¡RIO FII RESPONSABILIDADE LIMITADA;FII INTER LG;INLG
INTER RESIDENCE FUNDO DE INVESTIMENTO IMOBILI¡RIO FII RESPONSABILIDADE LIMITADA;FII INTER RD;INRD
FUNDO DE INVESTIMENTO IMOBILI¡RIO IRIDIUM RECEBÕVEIS IMOBILI¡RIOS RESPONSABILIDADE LIMITADA;FII IRIDIUM;IRDM
IRIDIUM FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII IRIM;IRIM
INTER TEVA ÕNDICE DE PAPEL FUNDO DE INVESTIMENTO IMOBILI¡RIO FII RESPONSABILIDADE LIMITADA;FII INTER IP;ITIP
INTER TEVA ÕNDICE DE TIJOLO FUNDO DE INVESTIMENTO IMOBILI¡RIO FII RESPONSABILIDADE LIMITADA;FII INTER IT;ITIT
ITA⁄ TOTAL RETURN FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII ITRI;ITRI
ICATU VANGUARDA CR…DITO IMOBILI¡RIO FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII IVCI;IVCI
JASC RENDA VAREJO ESSENCIAL FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII JASC REN;JASC
JHSF CAPITAL MALLS - FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII JHSF CJ;JCCJ
JACARAND¡ I FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII JCDA I;JCDA
JACARAND¡ 02 FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII JCDB 02;JCDB
FOF JHSF INSTITUCIONAL - FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII JCIN;JCIN
JFL LIVING FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII JFL LIV;JFLL
JPP CAPITAL RECEBÕVEIS IMOBILI¡RIOS FUNDO DE INVESTIMENTO IMOBILI¡RIO DE  RESPONSABILIDADE LIMITADA;FII JPPA CRI;JPPA
JS ATIVOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII JS A FIN;JSAF
JS RECEBÕVEIS IMOBILI¡RIOS FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII JSCR;JSCR
JS REAL ESTATE MULTIGEST√O FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII JS REAL;JSRE
JT PREV FUNDO DE INVESTIMENTO IMOBILI¡RIO D. HAB;FII JT PREV;JTPR
KINEA CREDITAS FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII KINEA CR;KCRE
KINEA DESENVOLVIMENTO LOGÕSTICO II FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII KDLG;KDLG
EVEN II KINEA FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII EVEN II;KEVE
KINEA F NIX FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII KFEN;KFEN
FUNDO DE FUNDOS DE INVESTIMENTO IMOBILI¡RIO KINEA FII RESPONSABILIDADE LIMITADA;FII KINEAFOF;KFOF
KINEA DESENVOLVIMENTO GUARAR¡ JARDINS FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII KGUJ;KGUJ
KILIMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS IMOBILI¡RIOS SUNO 30 RESPONSABILIDADE LIMITADA;FII KILIMA;KISU
KILIMA VOLKANO RECEBÕVEIS IMOBILI¡RIOS FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII KIVO;KIVO
KINEA DESENVOLVIMENTO LOGÕSTICO FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII KINEA DL;KLOG
KINEA RENDIMENTOS IMOBILI¡RIOS FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII KINEA RI;KNCR
KINEA DESENVOLVIMENTO GUARAR¡ FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII KNGR;KNGR
KINEA HEDGE FUND FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII KINEA HF;KNHF
KINEA HIGH YIELD CRI FUNDO DE INVESTIMENTO IMOBILI¡RIO  RESPONSABILIDADE LIMITADA;FII KINEA HY;KNHY
KINEA ÕNDICES DE PRE«OS FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII KINEA IP;KNIP
KINEA PREMIUM PROPERTIES FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII KINEA PR;KNPR
KINEA II REAL ESTATE EQUITY FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII KII REAL;KNRE
KINEA RENDA IMOBILI¡RIA FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII KINEA;KNRI
KINEA SECURITIES FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII KINEA SC;KNSC
KINEA UNIQUE HY CDI FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII KINEA UN;KNUQ
KINEA OPORTUNIDADES IMOBILI¡RIAS I FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII KOPI;KOPI
KINEA OPORTUNIDADES REAL ESTATE FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII KORE;KORE
KINEA PRIME RESIDENCIAL I FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII KPMR;KPMR
KINEA PRIME RESIDENCIAL I PVT FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII KPRP;KPRP
KINEA AQUISI«’ES RESIDENCIAIS FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII KRES;KRES
LEGATUS FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII LEGATUS;LASC
LIFE CAPITAL PARTNERS FUNDO DE INVESTIMENTOS IMOBILI¡RIOS;FII LIFE;LIFE
FUNDO DE INVESTIMENTO IMOBILI¡RIO DEVELOPMENT V1 RESPONSABILIDADE LIMITADA;FII DEV ONE;LKDV
BS2 ALLINVESTMENTS FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII BS2;LLAO
LOFT I FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII LOFT I;LOFT
LAGO DA PEDRA - FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII LAGO PDR;LPLP
LEBLON REALTY DESENVOLVIMENTO I FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII LEBLON;LRDI
LCP REAL ESTATE DEVELOPMENT FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII LRED;LRED
LCP SPECIAL OPPORTUNITIES I FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII LSOI;LSOI
LCP SPECIAL OPPORTUNITIES III FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII LSOP;LSOP
SPECIALE BLUE REAL FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII SPECIALE;LTMT
FUNDO DE INVESTIMENTO IMOBILI¡RIO VBI LOGÕSTICO - RESPONSABILIDADE LIMITADA;FII LVBI VBI;LVBI
MAG MULT FII RESPONSABILIDADE LIMITADA;FII MAGM;MAGM
VBI RENDIMENTOS IMOBILI¡RIOS I;FII MALL;MALL
MANATÕ CAPITAL HEDGE FUND FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII MANATI;MANA
FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII MAX RETAIL RESPONSABILIDADE LIMITADA;FII MAX RET;MAXR
FUNDO DE INVESTIMENTO IMOBILI¡RIO MAU¡ CAPITAL RECEBÕVEIS IMOBILI¡RIOS - FII RESPONSABILIDADE LIMITA;FII MAUA;MCCI
M…RITO CEMIT…RIOS FII - FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII MCEM;MCEM
MAU¡ CAPITAL LOGÕSTICA FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII MCLO;MCLO
BRM MINHA CASA MINHA VIDA III FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII MCMV;MCMV
MAU¡ CAPITAL REAL ESTATE FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII MAUA RE;MCRE
MERITO DESENVOLVIMENTO IMOBILIARIO I FII - FUNDO DE INVESTIMENTO IMOBILIARIO;FII MERITO I;MFII
MOGNO HOT…IS - FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII MOGNO HT;MGHT
MOGNO PROPERTIES FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII MGRI;MGRI
MIDWAY MALL FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII MIDW;MIDW
FUNDO DE INVESTIMENTO IMOBILI¡RIO MAU¡ CAPITAL MPD DESENVOLVIMENTO RESIDENCIAL RESP LIMITADA;FII MAUA MPD;MMPD
MARESIAS FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII MMVE OP;MMVE
MULTIOFFICES 2 - FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII MULT OF2;MOFF
MOSO FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII MOSO;MOSO
RB INVESTIMENTOS MULTIESTRAT…GIA FUNDO DE INVESTIMENTO IMOBILI¡RIORESPONSABILIDADE LIMITADA;FII MTES;MTES
ALIANZA MULTIOFFICES - FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII MULT OF1;MTOF
MAXI RENDA FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII - RESPONSABILIDADE LIMITADA;FII MAXI REN;MXRF
NAVI REAL ESTATE SELECTION 2 FUNDO DE INVESTIMENTO IMOBILI¡RIO;INTERMED NT;N4V1
TEN DESENVOLVIMENTO FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII NAUI;NAUI
NAVI IMOBILI¡RIO TOTAL RETURN FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII NAVI TOT;NAVT
NAVI CR…DITO IMOBILI¡RIO FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII NAVI CRI;NCRI
NEWPORT LOGÕSTICA FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII NEWPORT;NEWL
NEWPORT RENDA URBANA FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII NEWRU;NEWU
NM KSM LOG FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII NMKS;NMKS
FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII HOSPITAL NOSSA SENHORA DE LOURDES RESPONSABILIDADE LIMITADA;FII LOURDES;NSLU
FUNDO DE INVESTIMENTO IMOBILI¡RIO FII NOVO HORIZONTE - RESPONSABILIDADE LIMITADA;FII NOVOHORI;NVHO
NOVA I - FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII NOVA I;NVIF
OPPORTUNITY BALASSIANO FUNDO DE INVESTIMENTO IMOBILI¡RIO -  RESPONSABILIDADE LIMITADA;FII OPPBAL;OBAL
OCTO FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII OCTO;OCRE
ONDA DESENVOLVIMENTO IMOBILI¡RIO FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII ONDV;ONDV
FII PATRIMONIAL IV;FII PATRI IV;OPTM
OURINVEST JPP FUNDO DE INVESTIMENTO IMOBILI¡RIO DE  RESPONSABILIDADE LIMITADA;FII OURI JPP;OUJP
OXIG NIO 2 FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII OXRL;OXRL
FUNDO DE INVESTIMENTO IMOBILI¡RIO PANAMBY;FII PANAMBY;PABY
PATAG‘NIA CAPITAL MULTIESTRAT…GIA FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII PATA;PATA
PATEO BANDEIRANTES - FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII PTO BAND;PATB
P¡TRIA EDIFÕCIOS CORPORATIVOS - FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII PATC VBI;PATC
P¡TRIA LOGÕSTICA FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII PATL VBI;PATL
PROLOGIS BRAZIL LOGISTICS VENTURE FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII PROLOGIS;PBLV
PRAIA DO CASTELO FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII PRAIA CS;PCAS
PATRIA CR…DITO IMOBILI¡RIO ÕNDICE DE PRE«OS FII - RESPONSABILIDADE LIMITADA;FII PCIP PAX;PCIP
PDB MALLS FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII PDBM;PDBM
PERFORMA REAL ESTATE FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII PERFORMA;PEMA
PATRIA LOGÕSTICA AGRO - FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII PLAG;PLAG
FDO INV. IMOB. PLURAL RECEBIVEIS;FII PLCR;PLCR
POLO FII - FII RECEBÕVEIS IMOBILI¡RIOS I - RESPONSABILIDADE LIMITADA;FII POLO I;PLRI
SPECIALE REAL ESTATE FUND OF FUNDS FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII PMFO;PMFO
PARAMIS HEDGE FUND FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII RESPONSABILIDADE LIMITADA;FII PMIS;PMIS
PATRIA MALLS FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII PMLL PAX;PMLL
PERMUTA RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII PMRL;PMRL
PANORAMA CR…DITO RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII PNCR;PNCR
PANORAMA DESENVOLVIMENTO LOGÕSTICO - FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII PANORAMA;PNDL
PANORAMA LAST MILE SBC - FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII LASTMILE;PNLM
PANORAMA PROPERTIES FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII PAN PROP;PNPR
PANORAMA REAL ESTATE CR…DITO FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII PNRC;PNRC
POLO CR…DITO IMOBILI¡RIO - FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII POLO CRI;PORD
PARQUE ANHANGUERA FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII PARQ ANH;PQAG
FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII PARQUE DOM PEDRO SHOPPING CENTER RESPONSABILIDADE LIMITADA;FII D PEDRO;PQDP
PERSONALE I FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII PERSONAL;PRSN
PRESIDENTE VARGAS FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII P VARGAS;PRSV
PATRIA SECURITIES FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE  LIMITADA;FII PSEC PAX;PSEC
FUNDO DE INVESTIMENTO IMOBILI¡RIO RBR CR…DITO PULVERIZADO RESPONSABILIDADE LIMITADA;FII PULV;PULV
FUNDO DE INVESTIMENTO IMOBILI¡RIO VBI PRIME PROPERTIES - RESPONSABILIDADE LIMITADA;FII PVBI VBI;PVBI
QUARTZO REAL ESTATE DEVELOPMENT MULTIESTRAT…GIA FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE L;FII QTZD;QTZD
RB CAPITAL DESENV. RESIDENCIAL II FUNDO DE INVESTIMENTO IMOBILIARIO - RESPONSABILIDADE LIMITADA;FII RBRESID2;RBDS
Rio Bravo Renda Educacional;FII RBED;RBED
RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII RIOB FF;RBFF
RIO BRAVO FOR YOU FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII RBFY;RBFY
RIO BRAVO CR…DITO IMOBILI¡RIO HIGH GRADE FUNDO DE INVESTIMENTO  IMOBILI¡RIO - FII RESP LIMITADA;FII RBCRI IV;RBHG
RIO BRAVO CR…DITO IMOBILI¡RIO HIGH YIELD FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII RESP LIMITADA;FII RB YIELD;RBHY
RB CAPITAL DESENVOLVIMENTO RESIDENCIAL IV FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII - RESP. LTDA.;FII RBRES IV;RBIR
RB CAPITAL LOGÕSTICO FUNDO DE INVESTIMENTO IMOBILI¡RIO  FII RESPONSABILIDADE LIMITADA;FII RBCAP LG;RBLG
RIO BRAVO OPORTUNIDADES IMOBILI¡RIAS FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII MERC BR;RBOP
RB CAPITAL RENDA II FII DE RESP LIMITADA;FII RB II;RBRD
RBR ALPHA MULTIESTRAT…GIA REAL ESTATE FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII RBRALPHA;RBRF
FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII RBR DESENVOLVIMENTO III RESPONSABILIDADE LIMITADA;FII RBR III;RBRI
RBR PRIME OFFICES - FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII RBRK;RBRK
RBR LOG - FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII RBR LOG;RBRL
FUNDO DE INVESTIMENTO IMOBILI¡RIO RBR PROPERTIES - FII RESPONSABILIDADE LIMITADA;FII RBR PROP;RBRP
FUNDO DE INVESTIMENTO IMOBILIARIO - FII RBR RENDIMENTO HIGH GRADE RESPONSABILIDADE LIMITADA;FII RBRHGRAD;RBRR
RIO BRAVO RENDA RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII RIOB RR;RBRS
RBR PLUS MULTIESTRAT…GIA REAL ESTATE FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII RBR MULT;RBRX
FUNDO DE INVESTIMENTO IMOBILI¡RIO RBR CR…DITO IMOBILI¡RIO ESTRUTURADO RESPONSABILIDADE LIMITADA;FII RBR PCRI;RBRY
RB CAPITAL TFO SITUS FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII - RESPONSABILIDADE LIMITADA;FII RB TFO;RBTS
RIO BRAVO RENDA VAREJO FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII RIOB VA;RBVA
GRUPO RCFA FUNDO DE INVESTIMENTO IMOBILIARIO;FII GP RCFA;RCFA
RBR DESENVOLVIMENTO COMERCIAL FEEDER FOF - FII RESPONSABILIDADE LIMITADA;FII RBR FEED;RCFF
ROCK FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII ROCK;RCKF
RIO BRAVO RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII RIOB RC;RCRB
REAL INVESTOR RECEBÕVEIS IMOBILI¡RIOS FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII RCRI;RCRI
RBR DESENVOLVIMENTO COMERCIAL I - FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII RDCI;RDCI
FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII RBR DESENVOLVIMENTO IV RESPONSABILIDADE LIMITADA;FII RBRDESIV;RDIV
RBR DESENVOLVIMENTO LOGÕSTICO I - FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII RDLI;RDLI
REC FUNDO DE CRI COTAS AMORTIZ¡VEIS - FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII RECD;RECD
REC MULTIESTRAT…GIA - FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII RECM;RECM
FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII REC RECEBÕVEIS IMOBILI¡RIOS - RESPONSABILIDADE LIMITADA;FII REC RECE;RECR
FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII REC RENDA IMOBILI¡RIA - RESPONSABILIDADE LIMITADA;FII REC REND;RECT
SINGULARE FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII REIT RIV;REIT
FUNDO DE INVESTIMENTO IMOBILI¡RIO REC LOGÕSTICA - RESPONSABILIDADE  LIMITADA;FII REC LOG;RELG
CPV ENERGIA FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII RENV;RENV
